абориген;туземец
абсолютный;безусловный
абсурд;вздор
автор;творец
авторитетный;влиятельный
пекло;чистилище
геенна;преисподняя
адресовать;направлять
адский;каторжный,дьявольский
азарт;пыл
обыкновенный;простой
акклиматизироваться;приспособляться
аккуратный;щепетильный,скрупулезный
аксиома;истина
актер;артист
акушерка;повитуха
алеть;краснеть
алкоголик;пьяница
алчный;жадный
алчущий;жаждущий
алый;красный
красть;воровать
амулет;талисман
амурный;любовный
аналогичность;соответствие,сходство
аналогичный;подобный
басня;сказка
анонимный;неизвестный
анонс;объявление
вражда;неприязнь
враг;неприятель
апеллировать;жаловаться
апелляция;жалоба
аплодировать;рукоплескать,хлопать
апогей;верх,вершина
вымышленный;мнимый
плеть;нагайка
аргумент;довод
аргументировать;доказывать
узник;заключенный
вельможа;магнат
достойный;благородный
аристократия;знать
аромат;запах
артачиться;упрямиться
артист;актер
архаический;устарелый
архиплут;плут
набор;комплект
астроном;звездочет
атаковать;нападать
атаман;главарь
баба;бабушка
багаж;груз
кладь;поклажа,клажа
багроветь;краснеть
багровый;багряный
базар;рынок
баиньки;спать
бал;банкет,пир
балабонить;болтать
балагур;болтун
балагурить;болтать
балакать;беседовать
балбес;дурак
баловаться;шалить
баловливый;шалун
баловник;проказник,озорник
бандит;злодей
банкет;бал,пир
барин;господин
барствовать;роскошевать
прибыток;доход,заработок
вымышленный;мнимый
басня;сказка
водоем;водоместилище
батрак;наймит
батюшка;священник
хвастать;похваляться
хвастовство;самохвальство
баюкать;усыплять
бдительный;внимательный
бегать;бежать
быстро;скоро
беда;горе,бедствие,несчастье
бедность;нищета
беднота;бедность
неимущий;убогий
бедственный;несчастный
бедствие;беда,горе
бедствовать;страдать
бежать;бегать
безалаберщина;беспорядок
безбедный;зажиточный
безбожник;грешник
безбожный;грешный
безбоязненный;безбоязный,бесстрашный,неустрашимый
безбоязный;безбоязненный
безмятежный;спокойный
безвестный;неизвестный
безвозвратный;бесповоротный,невозвратимый,невозвратный
безвозмездно;бесплатно,даром
безвозмездный;бесплатный
безволосый;лысый
безвременный;несвоевременный
безвыгодный;невыгодный
безотлучно;неотлучно
безрассудный;глупый
безграничный;бесконечный,безмерный,беспредельный,необъятный
бездействовать;бездельничать
бездельник;лентяй
бездна;пропасть
бездоказательный;недоказанный
бездомный;бесприютный
бездыханный;мертвый
безжалостность;жестокость
безжалостный;беспощадный,жестокий
безжизненный;мертвый
беззаботный;беззаботливый
беззаконие;безправие
беззаконник;законопреступник
беззаконный;преступный
беззапретно;беспрепятственно
беззаступный;беззащитный
беззащитный;беспомощный
безлюдный;пустынный
безмерный;безграничный
безмозглый;глупый
безмолвие;молчание
безмолвный;молчаливый
безмолвствовать;молчать
безмятежный;спокойный
безнравственность;распущенность
безнравственный;распутный,развратный
безобразие;бесчинство
безобразный;некрасивый
надежный;благонадежный
безотвязный;навязчивый
безотлагательно;срочно,неотложно,немедля
спешно;поспешно
безотлагательный;спешный
безотложный;спешный
безотрадный;безнадежный
бессознательно;невольно
безошибочно;точно
безошибочный;точный
безрассудно;легкомысленно
безрассудный;легкомысленный
безрассудство;сумасбродство
безропотно;беспрекословно
безропотный;кроткий
безукоризненный;безупречный
безумие;сумасшествие,помешательство
безумный;сумасшедший
безупречный;безукоризненный
безуспешно;неудачно,тщетно,попусту
безутешный;печальный
безызвестный;неизвестный
безысходный;безнадежный
белиберда;вздор
белоснежный;белый
бережливый;бережный
беречь;оберегать,сберегать
беречься;остерегаться
бес;демон,дьявол,сатана,черт
беседовать;собеседовать,разговаривать
беситься;буянить
бесконечный;нескончаемый,неисчерпаемый,безграничный
бескорыстно;безвозмездно,бесплатно,даром
бескорыстный;благородный,великодушный
беспечальный;беззаботный
беспечность;неосторожность
беспечный;неосторожный
бесплатно;безвозмездно,даром
бесплатный;безвозмездный
бесповоротный;безвозвратный
бесподобный;неподражаемый
беспокоиться;волноваться
бесполезно;напрасно
бесполезный;напрасный,тщетный
безукоризненный;безупречный
беспорядок;кавардак
безалаберщина;бестолковщина
кутерьма;катавасия,сумятица
беспочвенный;бездоказательный,неосновательный
беспощадный;бесщадный,нещадный,безжалостный,бессердечный,бесчеловечный
беспредельный;безграничный
беспрекословно;послушно,безотговорочно
беспрепятственно;свободно,вольно
беспрепятственный;свободный
беспрерывный;постоянный
беспрестанно;постоянно
беспрестанный;постоянный
беспримерный;бесподобный,неподражаемый
беспристрастный;объективный
беспричинно;спроста
беспричинный;случайный
бесприютный;бездомный
беспутство;безнравственность
бессвязно;непоследовательно
бессердечие;жестокость
бессердечный;безжалостный
бессилие;слабость
бессильный;малосильный,слабосильный,слабый
бесславие;бесчестье
бессловесный;молчаливый
бессмысленный;вздорный,нелепый
бессмыслие;глупость,нелепость
бессмыслица;нелепость
бессовестно;бесстыдно
бессовестный;бесстыдный,бесстыжий
инстинктивно;машинально
бесспорно;несомненно,очевидно
бесстрастие;бесстрастность
бесстрастный;равнодушный
бесстрашный;безбоязненный
бесстыдно;бессовестно
бесстыдный;бесстыжий,бессовестный
бестактный;неблаговоспитанный
бестолковый;безрассудный
бесхитростный;наивный
бесцельно;напрасно
бесцельный;напрасный
бесцеремонный;дерзкий
бесчеловечность;жестокость
бесчеловечный;безжалостный
бесчестный;бессовестный,безнравственный
бесчестье;бесславие
бесчувственный;безсердечный
бесшумно;тихо
бесщадный;беспощадный
бешеный;неистовый,яростный
бить;колотить
бороться;драться
плеть;плетка,нагайка
благовидный;благообразный
благоволение;благожелательство,доброжелательство
благосклонность;милость
благоволить;поблажать
благовоние;благоухание
аромат;запах
благовоспитанный;вежливый
благовременно;кстати
благоговение;почтение
благодарность;признательность
благодарный;признательный
благодарствовать;благодарить
благоденствие;благополучие
благодетель;покровитель,заступник
благодетельствовать;покровительствовать
благодеяние;благотворение
благодушный;добрый
благожелательный;дружественный
благожелательство;благоволение
благожелательствовать;доброжелательствовать
благонравный;благопристойный
благообразный;благовидный,миловидный
благополучие;благоденствие
благополучный;благоприятный
благоприличный;благонравный
благопристойность;приличие
благопристойный;благонравный
благоприятный;благоприятствующий,благосклонный
благоприятствовать;благодетельствовать
благоприятствующий;благоприятный
благоразумный;рассудительный,разумный
благородный;добропорядочный
благосклонность;благоволение
благосклонный;благоприятный
благотворение;благодеяние
благотворитель;благодетель
благотворить;благодетельствовать
благоуспешный;благополучный
благоустройство;благообразие
благоухать;пахнуть
благочестивый;богобоязненный
шальной;шалый
блестеть;блистать
блестящий;блистательный
ближний;близкий
близ;близко
близкий;ближний
близко;вблизи,близ,недалеко,невдалеке,поблизости
близлежащий;близкий
близнецы;двойняшки
блистание;сияние
блистательный;блестящий
блистать;лосниться,сверкать,сиять
блюдолиз;лизоблюд
блюсти;беречь
бог;всевышний,господь
богатей;багач
богатырь;силач
богомолье;богослужение
боготворить;почитать
богоугодный;благочестивый
богохульник;святотатец
богохульство;святотатство
боец;воин
божественный;священный,святой
клясться;присягать
божок;идол
бойкий;резвый
бойко;резво
бойкость;резвость
болван;глупец,дурак
болезнь;хворь
болеть;недомогать,хворать
болтаться;шататься
болтливость;говорливость
болтливый;говорливый,разговорчивый
больница;клиника
больной;нездоровый,хворый
большой;великий
большущий;большой
бороться;воевать,сражаться,противоборствовать
состязание;соперничество
босой;необутый
боязливость;боязнь,робость,трусость
боязливый;робкий,трусливый
пугливый;страшливый
боязнь;робость,трусость
боярин;дворянин
бояться;побаиваться,опасаться
бравый;смелый,храбрый
бранить;ругать
браниться;ругаться
бранчливый;бранливый,сварливый
брань;ругань
балка;колода
бремя;ярмо
багаж;груз
брести;бродить
брехня;ложь
бродяга;скиталец
бродяжничать;скитаться
бросать;кидать
бросаться;кидаться
брюхо;чрево
будничный;ежедневный
будто;словно,якобы
дальнейший;следующий,последующий
буйный;бешеный
буйствовать;буянить
буквально;дословно
булочник;хлебник,хлебопек
бунт;восстание
бунтарь;бунтовщик
бунтовать;восставать
бунтовщик;бунтарь,мятежник
бурая;коричневая
бухта;залив
бушевать;буянить
драчун;забияка
буянить;буйствовать,бушевать
бывальщина;быль
бывать;посещать
бывший;былой,прежний
былина;быль
прежний;прошлый,бывший,минувший
быль;бывальщина,былина
быстро;живо
быстрый;прыткий
бытие;бытность
бытность;бытие
важнейший;главный
важный;главный
вакантный;незамещенный
валандаться;шататься
вампир;упырь
варвар;вандал
варварский;безжалостный,жестокий
вариация;разновидность
ватага;толпа
вблизи;близко
ввалившийся;впалый
ввек;всегда
вволю;вдоволь,вволюшку
ввязаться;вмешиваться
вдали;далеко
вдобавок;еще
вдохновение;воодушевление
вдохновлять;воодушевлять
вдруг;внезапно,неожиданно
вдругорядь;вторично
вдумываться;вникать
ведомый;известный
ведьма;колдунья
вежливость;воспитанность
вежливый;воспитанный,приветливый
везде;всюду,повсюду,повсеместно
вековечный;вечный
велеречивый;красноречивый
велеречие;красноречие
велеть;приказывать
великан;гигант
великий;большой
великодушный;благородный
великолепный;прекрасный
великорослый;высокий,рослый
величавый;величественный
величаться;называться
величественно;гордо
величественный;величавый
вельможа;аристократ
метла;метелка
вероисповедание;религия
вердикт;приговор
веревка;шнур
верещать;кричать
верить;веровать
вернуть;возвращать
вернуться;возвратиться
истинный;правильный
вероисповедание;вера
вероломство;измена
вероломствовать;изменять
вероотступник;еретик
вероятно;возможно
версия;гипотиза
вертеть;ворочать,вращать
вертеться;вращаться
верховенство;главенство,господство
верхушка;вершина
веселить;увеселять,смешить
веселиться;забавляться,потешаться
веселый;радостный
веселье;развлечение,увеселение
весельчак;забавник
веский;значительный
вести;водить
вестник;вестовой
весточка;весть
весть;весточка
известие;извещение
весь;полный,целый
ветхий;старый
ветшать;стареть
вечно;вовек
вечный;постоянный
вещица;вещь
взаимный;обоюдный
взамен;вместо
взбудоражить;встревожить
взбираться;подниматься
взбудоражить;встревожить,всполошить
взвешивать;обдумывать
взвиваться;подниматься
взволновать;взбудоражить,встревожить
взволноваться;встревожиться
взгляд;взор
вздор;абсурд
чепуха;белиберда
вздорный;нелепый
вздремнуть;заснуть
вздрогнуть;дрогнуть
вздуваться;надуваться
вздумать;надумать
вздыматься;подниматься
вздыхать;охать
взимать;взыскивать
взор;взгляд
взрослый;зрелый
взъедливый;взъедчивый,бранчливый,сварливый
подкуп;хабар
взяточник;лихоимец
взять;брать
видеть;видать
видимый;явный
визжать;кричать
визитер;гость
вилять;изворачиваться,увертываться,уклоняться
винить;обвинять
виноват;виновный,виноватый
витать;летать
вкрадываться;проникать
вкрасться;проникнуть,вторгнуться
вкусный;аппетитный,лакомый,смачный
вкушать;отведывать,смаковать
владелец;обладатель,собственник
владеть;обладать
владыка;господин
владычество;главенство,господство
владычествовать;властвовать,главенствовать,господствовать
властелин;властитель
власть;господство
волочить;тянуть
влезть;приходить
влечение;желание
влияние;воздействие
вломиться;вторгаться
вместе;совместно
вместо;взамен
вмешивать;примешивать
вмешиваться;ввязиваться
внезапно;вдруг,неожиданно
внешний;наружный
вникать;вдумываться
выслушивать;вслушиваться,прислушиваться
вновь;опять,снова
вовлекать;привлекать
вовсе;совсем
воевать;бороться
военный;боевой
вожак;вожатай
вождь;главарь
возбранять;воспрещать
возвеличивать;восхвалять
возвещать;извещать
возвещение;извещение
возвращать;отдавать
возвышенный;высокопарный
возгордиться;загордиться
воздавать;возмещать,отплачивать
воздаяние;возмещение,отплата
воздержанный;сдержаный
воздерживаться;удерживаться
воздыхатель;почитатель
возжигать;зажигать
возиться;копаться
возле;близко,около
возлюбленный;любимый
возмещать;воздавать
возмещение;воздаяние
возможно;вероятно
возможный;вероятный
возмужалый;мужественный
возмутительный;вопиющий
возмущаться;противиться
вознаграждать;награждать
вознегодовать;рассердиться
возникновение;происхождение
возобновление;восстановление
возобновлять;восстанавливать
возобновляться;восстанавливаться
возражать;перечить,протестовать
возражение;отрицание
возрастать;вырастать,подрастать
возрождать;оживлять
возрождаться;оживляться
возрождение;восстановление
воин;боец,борец
волен;свободен
волнение;тревога
волновать;тревожить
волноваться;беспокоиться,тревожиться
волочить;тащить
волшебник;колдун,маг
вольничать;самовольствовать
вольно;свободно
вонять;зловонинь
воображаемый;мнимый
воображать;придумывать
воображение;фантазия
воодушевлять;вдохновлять
вопить;кричать
вопиющий;возмутительный
вопль;крик
вор;воришка
воровать;красть
ворожить;гадать
ворохнуться;шевельнуться
ворочать;вертеть
ворочаться;вертеться
ворошить;шевелить
ворошиться;шевелиться
воскрешать;оживлять
воспитанник;ученик
воспитанница;ученица
воспитанный;вежливый
воспламеняться;загораться
воспрещать;запрещать
воспрещаться;запрещаться
воспроизведение;воссоздание
воспроизводить;воссоздавать
воссоздание;воспроизведение
восстание;бунт,мятеж
восстановление;возобновление,возрождение
восстановлять;возобновлять
восторг;восхищение,ликование
восторгаться;восхищаться
восхвалять;хвалить
восхитительный;прекрасный
восхищать;очаровывать
восхищаться;восторгаться
восхищение;восторг
восходить;подниматься
впалый;впавший
вплетать;заплетать
впопыхах;второпях,спешно
вправду;действительно
враг;недруг,неприятель
вражда;неприязнь
враждебный;злобный,недоброжелательный
враждовать;недоброжелательствовать
врасплох;неожиданно
врач;доктор,лекарь
врачебный;лечебный
врачевать;лечить
вращать;вертеть
вращаться;вертеться
вред;ущерб
временить;медлить
врун;лгун
вседержитель;всевышний,бог
всегда;постоянно
вседневный;ежедневный
всеобъемлющий;безграничный
всесветный;всемирный
всесторонне;многосторонне
всесторонний;многосторонний
вскакивать;подпрыгивать
вслушиваться;внимать
вспомянуть;вспомнить
вспыльчивый;раздражительный
встревоживать;тревожить
встревожить;взволновать,взбудоражить
встревожиться;взволноваться,обеспокоиться
вступаться;защищать
всхлипывать;поплакивать
всходить;подниматься
всхрапнуть;захрапеть
всюду;везде
всячески;разнообразно
втереться;проникнуть
втихомолку;тихонько
втолковать;разяснить
вторгаться;врываться
вторично;вдругорядь
второпях;впопыхах
вцепиться;ухватиться
выбирать;избирать
выболтнуться;проговориться
выбрасывать;выкидывать
вывертываться;увертываться,выкручиваться
вывод;умозаключение
выговор;укор
выгораживать;оправдывать
выдающийся;знаменитый
выдуманный;вымышленный,мнимый
вымысел;измышление
выдумывать;придумывать,вымышлять
выжидать;дожидаться
выкормок;питомец
выкручиваться;вывертываться
вылечивать;излечивать,исцелять
вылечиваться;выздоравливать
вымышленный;выдуманный
вымышлять;выдумывать
вынудить;принудить
вынуждать;принуждать
выпалить;выжечь
выпивший;опьяневший
выплачивать;оплачивать
выполнение;исполнение
выполнять;исполнять
выпростаться;выпрямиться
выпускать;издавать
выравнивать;выпрямлять
вырастать;расти
вырывать;выдергивать
вырядиться;нарядиться
высветлить;осветлить
выславлять;выхвалять
выследить;отследить
выслеживать;отслеживать
высмеивать;насмехаться
высоконравственный;нравственный
высокопарный;возвышенный
высокоталантливый;талантливый
высота;вышина
выспаться;отоспаться
высыпать;рассыпать
вытворять;выделывать
вытерпеть;терпеть
выучиться;научиться
выхваляться;хвастать
вычищать;очищать
вышина;высота
вышучивать;насмехаться
вьюга;метель,мятель
вязанка;связка
вянуть;блекнуть
гадкий;противный
гадость;мерзость
гаснуть;меркнуть
герб;знак
героический;смелый
гибель;пагуба,погибель
гибкий;эластичный
гигант;великан
гигантский;громадный
гинуть;гибнуть
гипотеза;догадка
главарь;вождь
главенство;верховенство
главный;основной
глазеть;глядеть
глазища;глаза
глумиться;насмехаться
глумление;насмешка
глупенький;дурачок
глупец;глупыш,дурак
глуповатый;неразумный
глупый;неразумный
глуховатый;глухой
глядеть;смотреть
гневаться;сердиться
гневить;сердить
гневный;озлобленный
гнусность;гадость
гнусный;гадкий
говор;молва
говорено;сказано
говорить;разговаривать
говорливость;разговорчивость
говорливый;разговорчивый
годный;пригодный,подходящий
головоломный;замысловатый
голос;глас
голосить;кричать,плакать
голословный;бездоказательный,неосновательный
голубить;ласкать
голый;нагой,обнаженный,оголенный
гомонить;галдеть
гонец;вестник
гонитель;притеснитель
гораздо;значительно
горделивость;гордость
горделивый;гордый
гордость;гордыня
гордый;горделивый
горемычный;несчастный
горесть;печаль
гореть;пламенеть
горечь;печаль
горланить;кричать
горничная;служанка
горожанин;мещанин
гортань;глотка
горький;горечный
горячность;пылкость
господин;хозяин
господствовать;главенствовать
господь;бог
гостеприимный;радушный,хлебосольный
государь;господин
готовиться;приготовляться
грабеж;разбой
грабитель;вор
грациозный;изящный
грация;изящность
греготать;гоготать
грезить;мечтать
прегрешение;согрешение
греховность;безнравственность
греховный;грешный
греховодник;грешник,безбожник
грешный;греховный,богопротивный
гримаса;мина
грозный;строгий
громадный;огромный,непомерный
громкий;звучный
громко;звучно
грубить;дерзить,грубиянить
груз;багаж
группировка;сортировка
грустить;печалиться,тосковать
грустный;печальный
грусть;печаль,тоска
грядущее;будущее
грядущий;будущий
грязнить;марать
грязь;тина
гуманный;разумный
дабы;чтобы
давешний;давнишний
давить;нажимать,теснить
давка;толкотня
далекий;дальний
далеко;вдали
дальновидность;предусмотрительность
дальновидный;предусмотрительный
дамба;плотина
дар;подарок
дарить;даровать
даровой;бесплатный
даром;задаром,безвозмездно
двоедушный;двуличный
дворец;замок
двуличный;лицемерный
дебошир;забияка
деваться;пропадать
девица;девушка
дееспособность;работоспособность
дееспособный;работоспособный
действие;деяние
декорировать;украшать
деление;дробление,разделение
делец;деятель
делить;разделять
дельный;практический
демон;бес
демонстративно;напоказ
деморализация;развращение
деморализовать;развращать
деревня;село
дерзить;грубить
дерзкий;дерзостный,нахальный
дерзость;наглость,нахальство
деспотствовать;самовольствовать
детский;ребяческий
дефект;недостаток
дешевый;недорогой
деяние;действие
деятель;делец
диалог;разговор
дивный;удивительный
дикий;бешеный
диковинный;необычайный
директор;начальник
дитя;чадо
длительный;долгий
длиться;продолжаться
днище;дно
добавление;прибавление
добавлять;прибавлять
добиваться;достигать
доблестный;благородный
добровольный;доброохотный
добродей;благодетель
добродетельный;добрый
добродушный;добрый
доброжелатель;благожелатель
доброжелательство;благоволение
доброжелательствовать;благожелательствовать
доброкачественный;высококачественный
добронравный;нравственный
добропорядочный;порядочный
добросердечный;милосердый
добрый;благой,добросердечный
добывать;доставать
доверчивый;наивный
довершать;заканчивать
доверяться;пологаться
довольно;достаточно
довольный;довольствующийся,удовлетворенный
догадка;предположение
догадливость;сообразительность
догадливый;сообразительный
догадываться;додумываться
договор;уговор
догонять;настигать
догорать;гаснуть
дождь;дождик
дожидаться;ждать
доза;порция
дозволение;соизволение
дозволять;разрешать
доказательный;неоспоримый,неопровержимый
доказывать;подтверждать
докучать;надоедать
докучливый;навязчивый,надоедливый
докучный;надоедливый
долгий;длинный
долговечность;долголетие
долголетие;долговечность
долготерпеливый;терпеливый
должен;обязан
должок;долг
доля;часть
домашний;семейный
домысел;догадка
домышлять;догадываться
донимать;доконать
донос;оговор
доноситель;доносчик
доныне;поныне
дополнение;добавление,прибавление
допускать;дозволять
допустимый;возможный
допущение;дозволение
дорогой;драгоценный
досадно;обидно
досадовать;сердиться
доска;дощечка
доскональный;подробный
дословно;буквально
дословный;буквальный
достигать;добиваться
достойный;доблестный
достославный;знаменитый
достояние;имущество
дотрагиваться;прикасаться
доход;заработок
доходный;прибыльный
драчливый;забиячливый
драчун;забияка
дремать;спать
дробление;деление,разделение
друг;приятель
другой;иной
дружелюбный;дружественный,дружеский
дружить;приятельствовать
дружище;друг
дрянь;гадость
дубинка;палка
думать;мыслить,размышлять
дуралей;глупец,дурак
дурачить;обманывать
дурачиться;забавляться
дурачок;глупец
дурень;глупец,дурак
дурь;безрассудство
душевнобольной;сумасшедший
душевный;искренний
душок;запашок
дьявол;бес
еда;пища
едва;еле
единовластно;единолично
единовременный;одновременный
единодушие;однодушие
единоплеменник;соплеменник
единство;согласие
единый;единичный
ежедневно;каждодневно,повседневно
ежедневный;каждодневный,повседневный
ерепениться;артачиться
ерунда;нелепость
естественный;природный
ехидный;хитрый
жадный;алчный
жаждать;желать
жалеть;сожалеть
жалкий;ничтожный
жалобный;печальный
жалостливый;милосердый
жалостный;печальный
ждать;дожидаться
желаемый;желанный
желательно;желаннее
желательный;желанный
железный;стальной
жена;супруга
жестокость;безжалостность
живительный;лечебный
живить;оживлять
живописать;рисовать
живописец;художник
живописный;великолепный
животворить;оживлять
животворный;лечебный,целебный
жизнерадостный;веселый
жилец;житель
жилище;жилье
житель;обитатель,жилец
жулик;плут
жутко;страшно
заалеться;покраснеть
забава;потеха
забавлять;веселить,развлекать
забавляться;потешаться
забавный;смешной
забияка;задира
забиячливый;драчливый
заблаговременно;заранее
заблуждаться;ошибаться
изгородь;огорожа,ограда
заботиться;беспокоиться
заботливый;попечительный
забрать;отобрать
забыть;пренебрегать
заведовать;управлять
завершать;заканчивать
завершение;конец
завершительный;окончательный
завершиться;закончиться
завзятый;усердный
завладеть;овладевать
завлекать;привлекать
завозной;привозной
заворот;поворот
загадочный;неясный
загаживать;грязнить
загиб;изгиб
заглавие;оглавление,заголовок
заглядеться;засмотреться
загодя;заранее
загораживать;заграждать
загородка;перегородка
заготовлять;приготовлять
заграждать;загораживать
заграничный;иностранный
загромоздить;заграждать
задабривать;умилостивлять
задаром;даром
задача;задание
задерживать;удерживать
задира;забияка
задумывать;замышлять
задушевный;искренний
заем;долг
зажигать;поджигать
зажиточный;состоятельный
зазнаваться;важничать
заимствовать;одалживать
заискивать;льстить
заискивающий;льстивый
заканчивать;окончать
заканчиваться;кончаться
заклад;залог
заключаться;содержаться
заключенный;арестант
законопреступник;беззаконник,преступник
законченный;оконченный
закордонный;иностранный
закоренелый;коренной
закрывать;накрывать,покрывать
залечивать;подлечивать
залог;заклад,задаток
замалчивание;молчание
замалчивать;скрывать
заманчивый;соблазнительный
замен;обмен
заменять;сменять
замерзать;мерзнуть
замечательный;примечательный
замечать;примечать,подмечать
замолкнуть;замолчать
замыкать;запирать
замысел;умысел
замышлять;умышлять,задумывать
занимательный;интересный
запальчивость;горячность
запальчивый;горячливый
запасливый;припасливый
запах;аромат
запирать;замыкать,затворять
заплатить;оплатить,платить
заподозрить;подозревать
запоздать;опоздать
заполнять;наполнять
запретить;воспретить
запрещать;воспрещать
запрещаться;воспрещаться
запрещение;воспрещенье
запропаститься;пропасть
заранее;предварительно,заблаговременно
зарекаться;клясться
зарубежный;иностранный
засвидетельствовать;свидетельствовать
заслонить;заградить
заставлять;принуждать
застарелый;устарелый
застенчивость;робость
застенчивый;робкий
заступник;защитник
заступничество;покровительство
затейщик;зачинщик
заточать;заключать
затяжной;затянутый
захватить;завладеть
захватывающий;интересный
захворать;заболевать
захмелевший;пьяный
захолустье;глушь
зачинщик;затейщик,инициатор
защита;охрана
защитник;заступник
защищать;оберегать,оборонять
заядлый;усердный
звездочет;астроном
зверский;безжалостный
здравый;здоровый
зерно;семя
злобствовать;злиться
злодей;лиходей,преступник
злодеяние;преступление
злой;злобный
злословить;клеветать
злосчастный;несчастный
злоумышленник;злодей
злоумышленный;враждебный
знаменитый;известный
значительный;веский
значить;означать
знающий;опытный
зреть;видеть
зритель;созерцатель
зубрить;заучивать
игнорировать;пренебрегать
игра;забава
игривый;веселый
идеальный;образцовый
идиот;дурак
избегать;уклоняться
избегнуть;избавиться
избиение;побиение
избирать;выбирать
избранник;ставленник
избыток;излишек
известие;извещение,весть
известность;знаменитость
известный;знаменитый
извечный;стародавний
извещать;оповещать
извещение;возвещение,оповещение,известие
извинение;прощение
извинительный;простительный
извинять;прощать
извиняться;оправдываться
изворачиваться;вилять,хитрить
изгадить;грязнить
изгонять;выгонять,прогонять
изгородь;забор
изготовлять;выделывать
издали;издалека
издеваться;глумиться
издевка;насмешка
издревле;издавна
излагать;объяснять
излечивать;вылечивать
излишек;избыток
излишний;лишний
изловить;поймать
изменник;предатель
изможденный;бессильный
измываться;насмехаться
изнемогать;ослабевать
изнеможение;бессилие
изнеможенный;бессильный,изнуренный
изобилие;избыток
изредка;иногда
изувечивать;искалечивать
изумительный;удивительный
изуродованный;изувеченый
изуродовать;искалечить
изучить;выучить
изъян;недостаток
изъяснение;объяснение
изъяснять;объяснять
изысканный;роскошный
именитый;знатный
именоваться;называться
индивидуальность;особенность
иноземец;иностранец,чужестранный,чужеземный,заграничный
иноземный;иностранный
инструмент;прибор
интеллигентный;образованный
интервал;промежуток
интересный;занимательный
интересоваться;увлекаться
искажать;извращать
искать;отыскивать,разыскивать
исключительный;необыкновенный
исколесить;изездить
искренний;чистосердечный
искупление;избавление
искуситель;соблазнитель
искушать;соблазнять
исполнять;выполнять
исполняться;осуществляться
исправлять;поправлять
испугать;напугать,перепугать,ужаснуть
испугаться;оробеть,ужаснуться
истинный;подлинный
