абориген;туземец
истолковать;объяснять
истоптанный;изношенный
истрачивать;тратить
истреблять;уничтожать
истукан;идол
исхудалый;отощалый
исцелять;вылечивать
исчезать;пропадать
исчерпывающий;подробный
кабала;неволя
кавардак;беспорядок
каверзить;злоумышлять
каверзы;козни
казенный;государственный
казнить;наказывать
калечить;искалечить,изувечить
кандалы;оковы
капризничать;своенравничать
капризный;своенравный
карать;наказывать
карлик;лилипут
карманник;карманщик,вор
касаться;дотрагиваться
каяться;раскаиваться
оговор;наклеп,поклеп,обнос
клеветник;оговорщик
клеточка;клетка
клиника;больница
клоун;шут
клянчить;выпрашивать
клясть;проклинать
клясться;зарекаться
клятва;присяга
кляузы;козни
книжка;книга
кнут;бич
князь;дворянин
коварный;хитрый
коварство;хитрость
кожа;шкура
кожица;кожура
козни;интриги
колдовать;ворожить
колдун;волшебник
колебаться;медлить
колесить;разъезжать
колода;бревно
колотить;бить
колыхать;убаюкивать
комбинировать;сочетать
комик;шут
комментировать;объяснять
комфортабельный;удобный
конечно;разумеется
конечный;окончательный
конкурент;соперник
конкуренция;соперничество
конкурировать;соперничать
конструкция;построение
контракт;договор
конфиденциально;секретно
кончать;заканчивать,оканчивать
кончаться;заканчиваться,оканчиваться
кончина;смерть
копаться;возиться
кора;кожура
корить;упрекать
коричневый;бурый
кормиться;питаться
кормление;питание
короткий;краткий
корыстолюбивый;корыстный,алчный
кошель;кошелек,бумажник
кощунник;святотатец
кощунство;богохульство,святотатство
краса;красота
красивый;прекрасный,благовидный
красить;украшать
краснеть;алеть,багроветь
красноречивый;велеречивый
красноречие;велеречие,ораторство
краснослов;оратор
красный;алый,багряный,пурпурный
красота;краса,великолепие
красотка;красавица
красть;воровать,похищать
краткий;короткий
кредитоваться;занимать
крепкий;сильный
кривляться;гримасничать
крик;вопль
критиковать;осуждать
кричать;голосить,горланить,вопить,орать
кровать;постель
кровопийца;вампир
кроить;раскраивать
кромсать;резать
кропить;брызгать
кропотливый;заботливый
кроха;малыш
крохотный;маленький,крошечный
кругом;повсюду
кружить;кутить
кудахтать;кукудахтать
кудесник;волшебник
культивировать;возделывать
купа;куча
купец;торговец
купить;покупать
курьезный;смешной
кусок;кусочек
кутила;гуляка
кухарка;повариха
кучер;извозчик
еда;пища
кушать;есть
лавочник;торговец
лагерь;табор
лазарет;госпиталь
ландшафт;рельеф
ласковый;нежный
лаяться;браниться
лгать;врать
лгун;лгунишка,врун,лжец,обманщик
легко;свободно
легковесный;легкий
легкомысленно;безрассудно
легкомысленный;ветреный,беспечный
ледащий;ленивый
леденить;замораживать
лекарственный;лечебный,целебный
лентяй;бездельник
лепетун;болтун
лечебница;больница
лечебный;целебный,целительный,врачебный,лекарственный
лечить;врачевать
лжец;лгун,обманщик
лживый;бесчесный
лидер;руководитель
ликвидировать;уничтожать
ликовать;радоваться
ликующий;радостный
лилипут;карлик
лингвист;языковед
линия;черта
литератор;писатель
лиходей;злодей
лихоимец;взяточник
лихой;злой
лицевой;внешний
лицемерить;притворяться
лицемерный;двуличный,лукавый
лицо;личико
личность;персона
личный;собственный
лишаться;утрачивать
лишения;потери
лишний;излишний
лобзание;поцелуи
ловкий;проворный
;ездельник
ложный;неправильный,ошибочный
ложь;неправда,брехня
лоза;розга
ломать;разбивать
ломоть;кусок
лоск;блеск
лосниться;блистать
лукавец;лицемер
лукавить;хитрить
лукавый;лицемерный
лучезарный;блестящий
лучистый;блестящий
лучший;наилучший,превосходный
лысый;безволосый
льстивый;заискивающий
льстить;заискивать,улащивать
любезный;ласковый
любимец;фаворит
любовный;амурный
любознательный;любопытный,пытливый
любый;милый
людный;многолюдный
людоед;канибал
людская;человеческая
маг;волшебник
малевать;рисовать
маленькая;небольшая
маленький;малый
маленько;немного,маловато
мало;недостаточно,немного
маловажный;неважный
малограмотный;неграмотный
малодушный;бесхарактерный
малозначащий;незначительный
малокультурный;некультурный
отрок;юноша,юнец,подросток,несовершеннолетний
малолетство;детство
малонаселенный;малолюдный
малорослый;низкорослый
малосилие;бессилие
малосильный;бессильный,слабый
малоспособный;неспособный
малость;немножко,немного,чуточку
малоумный;безумный
малоупотребляемый;неупотребляемый
малоценное;негодное
малоценный;недорогой
маленький;махонький,малюсенький
мальчик;юноша,мальчишка
манить;привлекать
марать;грязнить
мародер;злодей
матовый;непрозрачный
машинально;невольно
машинальный;невольный
маэстро;виртуоз
маяться;мучиться
мгла;темнота
мгновенно;сразу
мегера;злюка
медикаменты;лекарства
медленно;небыстро
медленность;медлительность
медленный;медлительный
медлительность;медленность
медлить;мешкать
межа;граница
между;промеж
мелкий;малый
мелочной;мелкий
мелочный;придирчивый
обмен;размен
мерещиться;казаться
мерзавец;негодяй
мерзкий;гадкий
мерзнуть;зябнуть
мерзость;гадость
меркнуть;гаснуть
мертвец;труп
мертвый;безжизненный,покойный,усопший
мерцание;сияние
мерцать;сиять
меряться;равняться
месяц;луна
метель;вьюга
метить;целить
метко;ловко
механически;невольно
меценат;благодетель
мечта;цель
мечтать;грезить
мешкать;медлить
мещанин;горожанин
мзда;взятка
мздоимец;взяточник
мизерный;ничтожный
милашка;милочка
миловидность;изящность
миловидный;благообразный
милосердный;милосердый
милостивый;милосердый
милый;любезный,любый
мимоходом;попутно
миновать;избегать
минувший;прежний
мириться;примиряться
мирный;дружелюбный,миролюбивый
миролюбие;дружелюбие
миросозерцание;мировозрение
мистический;фантастический
младенчество;детство
мнение;суждение,воззрение
мнимый;воображаемый,вымышленный
многократно;часто
многолетие;долголетие
многолетний;долголетний
многолюдный;людный
многоопытный;опытный
многострадальный;несчастный
множество;обилие
модный;популярный
мокрый;влажный
молитва;моление,мольба
молоденький;молодой
молодость;юность
молчаливый;неразговорчивый
молчание;безмолвие
молчать;безмолвствовать
монах;послушник,чернец
монахиня;послушница
моральный;нравственный
моргать;подмигивать
морда;пасть
мороз;холод
морозить;холодить
морозный;холодный
мотивировать;доказывать
моток;клубок
мошенник;плут
мошенничать;хитрить
мощный;сильный
мощь;сила
мрак;сумрак
мрачный;неясный
мудрый;разумный
муж;супруг
мужественный;храбрый
мужество;храбрость
мука;пытка
мурлыканье;мяукание
мученик;страдалец
мучитель;истязатель
мучительный;невыносимый,тягостный
мучить;изнурять,истязать,терзать
мучиться;маяться
мыслить;думать
мысль;дума,идея
мыслящий;думающий
мятеж;бунт
восстание;повстание
мятежливый;мятежный
мятежник;бунтарь,бунтовщик,повстанец
мятежничать;бунтовать
мятежный;мятежливый,бунтливый
мятель;вьюга
набавлять;прибавлять
набиваться;навязываться,напрашиваться
наблюдательный;бдительный
набожный;благочестивый
набросок;очерк
наведываться;посещать
навеки;навсегда
навещать;посещать
навыворот;наизворот
навязчивый;докучливый,назойливый
навязываться;набиваться,напрашиваться
нагибать;наклонять
нагишом;голяком
наглость;дерзость
наглый;дерзкий
наговаривать;клеветать
наговор;клевета
наговорщик;клеветник
наговорщица;сплетница
нагой;голый
нагоняй;выговор
нагрянуть;вторгнуться
надавливать;теснить
надбавлять;прибавлять
упование;чаяние
надеяться;уповать,верить,полагаться
надзиратель;наблюдатель,надсмотрщик
надлежащий;подходящий
надо;надобно,нужно
надобность;нужда
надобный;необходимый
надоедать;докучать,надокучать,досаждать,донимать
надоедливый;докучливый,докучный,назойливый,навязчивый
надокучать;надоедать
надуманный;вымышленный
надумать;замышлять
наедаться;насытится
нажива;наживка
нажимать;давить
назад;обратно
назидательный;наставительный,наставнический
назойливый;навязчивый,надоедливый
назубок;наизусть
называть;именовать,нарекать
называться;именоваться,величаться
наивный;бесхитростный,легковерный
наизворот;навыворот,наоборот
наилучший;лучший
наименование;название
наймит;батрак
кара;расправа
накинуться;набросится
накладывать;прикладывать
наклонять;нагибать
накопить;запастись
накрывать;прикрывать
замысел;умысел,план
намеренно;умышленно
намечать;обозначать
наобум;наугад
наотрез;безуговорочно
нападать;атаковать
наперекор;наперерез
напасать;припасать
напиваться;нахлестаться
наполнять;заполнять
напоминать;подсказывать
напороться;наткнуться
направлять;обращать,устремлять
напрасный;бесполезный
напрашиваться;набиваться,навязываться
например;положим,предположим
напротив;против
насупротив;наперекор
напугать;испугать
народность;нация
наружность;внешность
наружный;внешний
наряжать;украшать
наряжаться;надеваться
население;народонаселение
насилование;насилие
насиловать;принуждать
наскучить;надоесть
наслаждение;удовольствие
наследие;наследство
наследник;преемник
наследственный;потомственный
насмехаться;измываться,подшучивать
высмеивать;осмеивать
насмешка;издевка,шутка
наставительный;назидательный,наставнический
настаивать;требовать
настойчивый;упрямый
настоятельно;настойчиво
настоятельный;настойчивый
настоящий;истинный
насупистый;угрюмый,насупленный
насупротив;напротив
насыщать;питать
насыщаться;питаться
наталкиваться;натыкатся
натворить;наделать
натуральный;естественный
наугад;наобум
научать;подучать,выучить
научиться;выучиться
наушничать;клеветать
нахальный;дерзкий
нахальство;дерзость
находить;обретать,выискать,отыскать,сыскать
находчивый;изобретательный
начальствовать;управлять
начинаться;возникать
нашествие;набег
небезинтересный;интересный
неблаговоспитанный;невоспитанный
неблагодарный;непризнательный
неблагопристойный;безнравственный
неблагосклонный;враждебный
небольшой;маленький
небрежно;какнибудь,коекак,халатно
небывалый;необыкновенный
неважный;маловажный
невдалеке;близко
неведомый;неизвестный
невежда;неуч
неверность;измена
невероятный;невозможный
невещественный;нематиреальный
невзначай;случайно
невиданный;диковинный
невинный;безвинный
невиновный;неповинный
безгреховный;безгрешный,беспорочный,непогрешимый
девственный;целомудренный
невмоготу;невмочь
невоздержный;необузданный
невозможный;невероятный
невольник;раб
невольно;непроизвольно
неволя;кабала,плен,рабство
подвластность;подчиненность
невоспитанный;неблаговоспитанный
невыгодный;безвыгодный
невыносимый;нестерпимый
невыразимый;неизъяснимый,неописуемый
невысокий;низкий
негодное;ненужное
негодный;непригодный
негодовать;роптать,сердиться
негодующий;недовольный,сердитый
недалеко;близко
недальновидный;близорукий
неделимое;целое
недисциплинированный;неблаговоспитанный
недобор;недомер,недочет
недостача;недоимка
недоброжелатель;враг
недоброжелательный;враждебный
недоброжелательствовать;враждовать
недобросовестный;бесчестный
недоверие;сомнение
недоверчивость;мнительность,подозрительность
осторожность;осмотрительность
недовольный;ворчливый,негодующий,сердитый
недовольство;негодование
недолюбливать;ненавидеть
недомогать;болеть
недосказывать;скрывать
недостаток;изъян
грех;порок
бедность;нужда
недостижимый;недосягаемый,недоступный
недоумевать;удивляться
недоумение;сомнение
недремлющий;бдительный
недруг;враг
недружелюбие;вражда
недружелюбный;враждебный
недюжинный;необыкновенный
неестественный;противоестественный
нежданно;неожиданно
неженатый;холостой
нежить;ласкать
независимый;самостоятельный
незаконный;преступный
незаметный;незначительный
незамысловатый;бесхитростный,простой
нездоровый;больной
незнакомый;неизвестный
неизбежно;неминуемо
неизбежный;неминуемый
неизвестный;безызвестный,неведомый
неизмеримый;безграничный
неимение;отсутствие
неимущий;бедный
неисполнимый;невозможный
неиссякающий;вечный
неистовствовать;свирепствовать
какойто;какойнибудь
некрасивый;неприглядный
невзрачный;неказистый,несуразный
безобразный;уродливый
некстати;несвоевременно,невовремя
некультурный;безкультурный
нелегальный;преступный,незаконный
нелепость;нелепица,ахинея,бессмыслица,белиберда,чепуха
нелепый;вздорный
неловкий;нерасторопный,неуклюжий
нелюбовь;вражда
немедленно;немедля,безотлагательно,неотложно
немедленный;безотлагательный
немилосердный;безжалостный
немилость;гнев
немного;немножко
немочь;слабость
немощный;бессильный
немудреный;бесхитростный
ненавистник;враг
ненависть;нелюбовь,отвращение
ненадежный;сомнительный
ненамеренно;случайно,ненароком
ненужное;негодное
необдуманно;нерассудительно,неосмотрительно,легкомысленно
необдуманный;легкомысленный
необоснованный;бездоказательный,неосновательный
необузданный;невоздержный
необъятный;необозримый
необыкновенный;необычайный,небывалый
необычайный;диковинный
неограниченный;безграничный
неоднократно;часто
неодолимый;непобедимый
неожиданно;нежданно,внезапно
неоплачиваемый;бесплатный
неопрятный;неряшливый
неосмотрительность;неосторожность
неосмотрительный;неосторожный
неосновательный;необоснованный,беспочвенный,голословный
неосторожность;неосмотрительность
неосторожный;беспечный,неосмотрительный,легкомысленный,необдуманный
неотвратимый;неизбежный
неотложно;безотлагательно,немедленно
неотменно;непременно
неохота;лень
неохотно;нехотя
непобедимый;неодолимый,непреодолимый
непогодица;непогода
неподражаемый;бесподобный,беспримерный
непокорность;своенравие,непослушание
непонятливый;глупый
непоправимый;безнадежный
непоседливый;беспокойный
непослушный;своенравный
непостоянный;переменчивый
неправда;ложь
неправильный;ошибочный
неправый;виноватый
непрерывно;постоянно
непрерывный;постоянный
неприбытие;отсутствие
неприглядный;некрасивый
непригодный;негодный
непризнательный;неблагодарный
непристойный;безнравственный,неприличный
неприязненный;враждебный
неприязнь;вражда
неприятель;враг
неприятельский;враждебный
неприятный;досадный
непроизводительный;бесплодный
непроизвольный;невольный
непрочный;хрупкий
непьяный;трезвый
неразговорчивый;молчаливый
неразумие;безрассудство
неразумный;глупый
нерасположенный;враждебный
нерассудительно;необдуманно
нерассудительный;легкомысленный
нерасторопный;неловкий
нервный;сердитый
нередко;часто
нерешительность;робость
нерешительный;боязливый
неряха;грязнуля
нескончаемый;бесконечный
неслышно;тихонько
несносный;невыносимый
несовершеннолетний;малолетний
несогласие;разногласие
несомненно;бесспорно
несостоятельность;бедность
несостоятельный;бедный
нестерпимый;невыносимый
несчастливый;несчастный
неудача;неуспех,несчастье
неудачно;безуспешно
неудачный;несчастный,безуспешный
неудобно;неловко
неужто;разве
неузаконенный;незаконный
неуклюжий;неловкий
неуместно;некстати
неуместный;неподходящий
неумышленно;невольно
неунывающий;беззаботный
неуравновешенный;вспыльчивый
неуспех;неудача
неустанно;безпрестанно
неустойчивый;непрочный
неустрашимость;храбрость
неустрашимый;безбоязненный,смелый,храбрый
нехотя;неохотно
нечестивец;грешник
нечувствительный;хладнокровный
нещадный;безжалостный,жестокий
неясный;мрачный
низвергать;свергать
нисколько;ничуть
ничегонеделание;безделие
нищенствовать;побираться,попрошайничать
нищета;бедность,нужда
новость;новинка,новшество
обнова;обновка
норов;нрав
норовистый;своенравный
нрав;характер
полюбиться;приглянуться
нравоучение;поучение
нравственный;высоконравственный,добронравный,порядочный
нудить;тошнить
нудно;тошно
ныне;нынче,сегодня
нынешний;теперешний
сегодняшний;теперешний
нынче;ныне,теперь
обанкротиться;разориться
обветшать;устареть
обвинение;нарекание,порицание
обвинять;оговаривать,осуждать
обворожительный;привлекательный,чудный
обдавать;облить
обдумывать;взвешивать
обдурить;обманывать
обеднеть;обнищать,оскудеть
обезвредить;обезоружить
обездоленный;несчастный
обезнадеживать;обескураживать
оберегать;защищать,охранять
оберегаться;остерегаться
обертка;оболочка
обеспокоить;беспокоить
обессилеть;ослабевать
обессиливать;ослабевать
обесчестить;бесславить
обещаться;обязаться
обжора;прожора
обжорливый;прожорливый
обзывать;бранить
обида;огорчение,оскорбление
обидеться;огорчиться
обидно;огорчительно,оскорбительно
обидный;оскорбительный,огорчительный
обижать;оскорблять,огорчать
обилие;изобилие,избыток
обильный;изобилующий
обиталище;жилище
обитатель;житель
обкрадывать;воровать,красть
обладатель;владелец
обладать;владеть
облекаться;облачаться
облобызать;обцеловать
облыселый;лысый
обманщик;лгун,плут
обманывать;дурачить,врать
обмолвиться;проговориться
обнажаться;оголяться
обнаженный;голый
обнародовать;разглашать
обнищать;обеднеть
обноски;лахмотья
обод;ободок
ободрять;взбудоражить
обожание;почтение
обожатель;почитатель
обожать;почитать
обозначать;означать
оболгать;оклеветать
оболочка;обертка
кожица;шкурка
плева;пелена,пленка
оболтус;глупец,дурак
обольститель;соблазнитель
обольстительный;соблазнительный
обольщать;соблазнять
обольщаться;соблазняться
обольщение;соблазн
оборона;защита
обосновывать;доказывать
обособленный;отделенный
обрадовать;радовать
образец;образчик
образованный;интеллигентный
образованность;интелегентность
образумливаться;образумиться,одуматься
образцовый;примерный
обрезать;отрезать
обрезки;отрезки
обременение;бремя
обременять;отягощать
обретение;приобретение
обронить;уранить
обряд;обычай
обсуждать;обговаривать
обтесаться;обточиться
отполироваться;отшлифоваться
обуздывать;усмирять
обучить;научить,выучить
обшарить;обискать
общедоступный;доступный
общеизвестный;известный
общепризнанный;признанный
общество;сообщество
объединение;соединение
объединять;соединять
объедки;недоедки
объективный;беспристрастный
объемистый;вместительный
обнародовать;оглашать,афишировать
объяснение;изъяснение,разъяснение
объяснять;изъяснять,пояснять,разъяснять
обыденный;ежедневный,повседневный
обыкновенный;обычный
обязан;должен
обязанность;повинность
обязательно;непременно
обязательство;обещание,обязанность
овал;эллипс
овальный;округлый
овладевать;завладеть
захватить;пленить
оглашать;объявлять,извещать
оглашение;извещение
оглядывать;осматривать
оговор;донос
оговориться;проговориться
оговорщик;доносчик,клеветник
оголенный;голый
огорожа;ограда
ограждать;отгораживать
довольствоваться;удовлетворяться
огромный;громадный
ода;песнь,хвала
одевать;облекать
одинакий;одинаковый
одинаковый;одинакий
равновеликий;равновесный,равнозначащий
одноглазый;безглазый
однолетки;ровесники
одномыслие;согласие
односельчанин;односелец
одобрение;согласие
одобрительный;благожелательный
одобрять;соглашаться
одолевать;побеждать
одолжение;услуга
одряхлеть;устареть
одуматься;образумиться
ожесточение;жестокость
ожесточенный;гневный
ожесточиться;рассверепеть
оживать;воскресать,возрождать
оживлять;возрождать,воскрешать
оживляться;оживать,возрождаться
ожидать;ждать
озаботить;обеспокоить,озадачить
озарять;осенять
озлобленный;гневный,сердитый
озлоблять;сердить,гневить
означать;значить
озорник;баловник,шалун
озорничать;шалить
озябать;мерзнуть,замерзать
оканчивать;заканчивать
оканчиваться;заканчиваться
око;глаз
оковы;кандалы,путы
околачиваться;бездельничать
около;вокруг
окончательный;конечный
оконченный;законченный
окрылять;возвышать
окунаться;погружаться
окутать;окружить
олух;глупец
омерзение;отвращение
омерзительный;гадкий
омрачать;опечалить
омрачаться;печалиться
опасаться;бояться
опасение;боязнь
опасливый;подозрительный,пугливый
опечаленный;печальный
опечалить;печалить,огорчить
описывать;обрисовывать
оплошать;осрамиться
оповещать;извещать
оповещение;извещение
опознавать;распознавать
опомниться;очнуться
опохмеляться;похмеляться
оправа;рама
оправдание;извинение
оправдательный;извинительный
оправдывать;выгораживать
оправдываться;выгораживаться
оправляться;выздоравливать
опрашивать;распрашивать
определенность;ясность
опрокидывать;переворачивать
опрокинуть;перевернуть
опрометчиво;наобум,необдуманно
опрометчивость;неосторожность
опрометчивый;неосторожный
опротиветь;надоедать
опускаться;спускаться
знающий;сведущий
опьяневший;пьяный
опять;вновь
орава;толпа
оракул;предсказатель
оратор;краснослов
ораторство;красноречие
орнамент;узор
оробелый;трусливый
оробеть;испугаться,струсить
осанка;выправка
освещать;озарять
освоиться;привыкнуть
осел;ишак
осиять;освещать
осквернить;опорочить
оскорбительный;обидный
оскорбиться;обидиться
оскорбление;обида
оскорблять;обижать
оскудеть;обеднеть
ослабевать;слабнуть,обессилеть
осматривать;рассматривать,обозревать,оглядывать
осмеивать;насмехаться
осмеливаться;отваживаться
осмотрительность;осторожность
осмотрительный;осторожный
основательный;фундаментальный
основной;главный
особенность;необыкновенность
особенный;особый,необыкновенный,неподражаемый
оспаривать;спорить
осрамиться;оплошать
остепениться;образумливаться
остервенелый;гневный
остервениться;разозлиться
остерегать;оберегать
остерегаться;беречься,оберегаться
остолоп;глупец
осторожный;осмотрительный
острить;шутить
острословие;остроумие
остужать;охлаждать
оступиться;споткнуться
осуществлять;исполнять
осуществляться;исполняться
отбавлять;убавлять
отблеск;отражение
отборный;лучший
отвага;смелость,храбрость
отваживать;отучать
отваживаться;осмеливаться
отважный;смелый,храбрый
отвергать;отклонять
отвертеться;избавляться
отзыв;отклик
отголосок;отзвук
ответственность;обязаность
ответствовать;отвечать
отворять;открывать
отвратительный;гадкий
отвращать;отвлекать,отстранять
отвращение;омерзение
брезгливость;гадливость
нерасположение;нелюбовь,неприязнь,антипатия
отгадывать;разгадывать
отговаривать;разубеждать
отговорка;увертка
отдаление;расстояние
отдаленный;дальний
отделаться;избавляться
отделить;разделять
отдельно;раздельно,порознь
отдыхать;почивать
отец;папа
отзываться;откликаться
отзывчивость;сочувственность
отказ;отрицание
отказывать;отвергать
отказываться;отрицаться
откапывать;выкапывать
отклик;отзыв
откликаться;отвечать,отзываться
отклонить;отвергнуть
откормленный;отевшийся
откровенный;искренний,прямодушный
открывать;раскрывать
открываться;раскрываться
открыться;раскриться
отличительный;характерный
отмежеваться;ограждаться
отменный;отличный
отместка;месть
отмщать;воздавать
отмыкать;открывать
отнекиваться;отказываться,отрицать
относительный;условный
отожествление;сравнение
отожествлять;сравнивать
оторопелый;испуганый
оторопеть;испугаться
оторопь;боязнь,испуг
отощать;исхудать
отплата;воздаяние
отплачивать;воздавать
отплясывать;плясать
отпрыск;потомок
отрада;радость
отрадный;радостный
отражение;отблеск
отрезок;кусок,отрывок
отрекаться;отказываться
трепье;лохмотье
отрицать;отказываться
отрицаться;отказываться
отрок;малолеток,юноша
отрочество;детство,юность
отрывистый;порывистый
отсвет;отблеск
отсоветовать;отговаривать
отстой;осадок
отстранять;отвращать
отступать;отходить
отступник;изменник
отсутствие;неимение
отсылать;посылать
отталкивать;отвергать
отталкивающий;неприятный
отуманить;одурманить
отучаться;отвыкать
отходить;отступать
отцветать;вянуть
отчаиваться;унывать
отчаяние;уныние
отчетливость;выразительность
отчетливый;выразитеьный
отчизна;родина
отчитывать;выговаривать
отыскать;найти
отыскивать;находить
отягощать;обременять
охапка;связка
охать;вздыхать
охлаждать;холодить
охранять;оберегать,сторожить
оцарапать;расцарапать
оценивать;расценивать
очаг;источник
очаровательность;прелесть
очаровательный;прелестный
очаровать;зачаровать
зачаровывать;очаровывать
очевидец;свидетель
очевидно;явно
очевидный;явный
очерк;набросок
ошарашить;ошеломить
ошибаться;заблуждаться
ошибка;оплошность
ошибочный;ложный
ощущать;чувствовать
ощущение;чувство
падаль;мертвечина
пакостить;вредить
пакостный;вредный
палач;кат
палица;палка
парадный;торжественный
парень;юноша,парнишка
пасмурно;хмурно
пасмурный;хмурный
пахать;трудиться
пахнуть;благоухать
пациент;больной
педагог;учитель
пекарь;булочник
первенство;главенство
первенствовать;главенствовать
перебраниваться;переругаться
переворачивать;перекладывать
перегородка;загородка
передвижение;переход,переезд
передразнивать;насмехаться
передумать;раздумать
переживать;волноваться
переиначивать;переменять
перековеркать;исковеркать
перекусить;покушать
перемена;смена
переменчивый;непостоянный
переменять;переиначивать
перемешивать;размешивать
перепуг;испуг
перепугать;испугать
перепутье;распутье
перерезать;разрезать
перерубать;разрубать
переставать;прекращать
пересуды;сплетни
переулок;проулок
переутомленный;утомленный
перечень;список
перечить;возвражать
персона;особа
песнь;песня
пестрый;разноцветный
петь;напевать
печалить;опечалить
печалиться;грустить,тосковать,унывать
печаль;грусть,тоска
печальный;грустный
пилюли;таблетки
пирушка;вечеринка,гулянка
торжество;пиршество,празднество
бал;банкет,раут
пировать;пиршествовать
питание;кормление
питаться;кормиться,насыщаться
хлебать;лакать
пища;еда
яства;харчи
плакать;вопить,рыдать
хлипать;всхлипывать,хныкать
жаловаться;роптать
платить;выплачивать,уплачивать
плач;рыдание
пленительный;заманчивый
плетка;плеть
плодиться;размножаться
плодовитый;плодородный
плутоватый;хитроватый
плутовать;хитрить
плясать;танцевать
побеждать;одолевать,осиливать,превозмогать
побиение;избиение
поблекнуть;потускнеть
поблизости;вблизи
повадка;привычка
повар;кулинар
повелевать;приказывать
повеление;приказ
повелитель;властитель
повелительный;властный
повенчаться;обвенчаться
повергать;свергать
поверье;суеверие
повествовать;рассказывать
повиноваться;подчиняться
повиновение;подчинение,послушание
повитуха;повивальщица
повод;предлог
повредить;испортить
поврежденный;испорченный
повременить;подождать
повседневный;ежедневный
повстанец;бунтовщик
бунт;мятеж
повсюду;везде
погаснуть;гаснуть
погибать;гибнуть
погибель;гибель
поглядывать;посматривать
поговорка;пословица,присказка
погрешности;грехи
подарок;дар
подбавлять;прибавлять
подбирать;выбирать
подвластный;подчиненный
подвыпивший;опьяневший
подготовлять;приготовлять
поддабриваться;подлизываться
поддельный;фальшивый
поддержка;помощь
поделка;фальшивка
поджигатель;зажигатель
поджигать;зажигать
поджидать;подстерегать,подкарауливать
подкупленный;продажный,подкупной
подлиза;льстец
подлизываться;льстить
подлинный;настоящий
ложный;фальшивый
подлый;бесчестный
подменять;заменять
подмечать;замечать
подневольный;подчиненный
подниматься;всходить,восходить
подобный;сходственный
похожий;схожий
подозревать;заподозревать
подозрение;недоверие,сомнение
подозрительность;недоверчивость
подписываться;расписываться
подправлять;исправлять
подробный;доскональный,исчерпывающий
подрядчик;поставщик
подсматривать;подглядывать
подстерегать;поджидать
подхалимство;лесть
подходить;приближаться
подходящий;надлежащий
подчинение;повиновение
подчиненный;подвластный,подданный
подчинять;покорять
