абориген;туземец
подчиняться;покоряться
подшучивать;насмехаться
подымать;поднимать
пожелание;благопожелание
пожирать;поглащать
позабывать;забывать
позаимствовать;одолжить
позволять;дозволять
поздравление;пожелание
поздравлять;приветствовать
позор;бесславие,стыд
позорить;бесславить,стыдить
поистине;действительно
поймать;словить
застать;застигнуть
настигнуть;нагнать
показание;свидетельство
покаяться;раскаяться
поклажа;ноша
покойник;труп,мертвец
покойный;мертвый
поколотить;побить
покорять;подчинять
покоряться;подчиняться
покровитель;заступник,попечитель
покровительство;заступничество
покровительствовать;благодетельствовать
покупать;приобретать
полагаться;надеяться
ползти;лезть
полинялый;облинялый
половина;полавинка
положительно;позитивно
полоскать;ополаскивать
полоумный;безумный
польза;выгода
помалкивать;молчать
помешательство;безумие
помещаться;вмещаться
помирать;умирать
помирить;мирить
помогать;подсоблять
помощь;поддержка,подмога
помпезный;роскошный
помышлять;подумывать
понимать;разуметь
поноровка;потворство
поноровщик;потворщик
поносить;бесславить
поношенный;изношенный
понуждать;заставлять,принуждать
понурый;печальный,угрюмый
поныне;доныне
понятливый;догадливый
поп;священник
попечитель;покровитель
попечительный;заботливый
попойка;пирушка
попрание;бесславие,обида
попрать;пренебрегать
попрекать;упрекать
попридержать;удерживать
попробовать;пробовать
попроведывать;посещать
попрошайничать;нищенствовать
популяризировать;объяснять,распространять
популярность;репутация,слава
популярный;знаменитый,известный,модный
попускать;благоволить,дозволять,потворствовать
попустительство;потворство
попусту;безуспешно,напрасно
попутать;соблазнять
попутчик;товарищ
попытаться;рисковать
попытка;поползновение,старание,испытание,опыт
порабощать;подчинять
поразительный;удивительный
поразмыслить;подумать
поранить;ранить
порицать;осуждать,порочить
порожняком;впустую
порознь;отдельно
порой;иногда
поросенок;порося
порочный;безнравственный
порошина;порошинка
поручать;доручать
порция;доза
порядочный;добропорядочный,благородный,нравственный
поседелый;седой
посещать;навещать,наведываться
посланник;посланец
после;потом,затем
последний;заключительный
конечный;окончательный
последовательно;методически
последующий;следующий
пословица;поговорка
послушание;повиновение
послушно;покорно
послушный;покорный
исполнительный;исправный
поспешно;спешно
посредственность;бездарность
посредственный;неособенный
постареть;устареть
постель;кровать
постепенно;помаленьку
постоянно;беспрестанно,непрерывно
поступь;походка
посылать;высылать
потеря;утрата
потеха;забава
потешать;забавлять
потешаться;забавляться
потешный;смешной
потный;вспотелый
потомок;отпрыск
потомственный;наследственный
потратить;истратить
потреблять;употреблять
потребность;нужда
потухать;гаснуть
потчевать;угощать
похвала;хвала
похваляться;хвастать
похититель;вор
похищать;воровать,грабить,красть
походка;поступь
почтение;поклонение,преклонение
почти;примерно
почтительно;уважительно
почтить;уважить
почудиться;показаться
пошлый;вульгарный
поэт;стихотворец
пояснение;объяснение
пояснять;объяснять
правдивость;искренность
правдивый;честный
безукоризненный;безупречный
правитель;управляющий
править;управлять,верховодить
привилегия;преимущество,прерогатива
правонарушение;преступление
правосудный;справедливый
праздничный;торжественный
праздновать;торжествовать
праздность;лень
пребывание;присутствие
пребывать;присутствовать
превозмогать;побеждать
превосходный;отличный
превосходство;преимущество,преобладание
преграждать;заграждать
прегрешение;грех
пред;перед
преданный;послушный
предатель;изменник,предвещание
предательский;изменнический
предвестие;предсказание
предвестник;предсказатель,предвещатель
предвещать;предсказывать
предвидеть;предусматреть,предугадать
предводительство;главенство,господство
предзнаменование;предсказание
предместник;предшественник
преднамеренно;умышленно
преднамеченный;предначертанный
предостережение;предупреждение
предположительно;приблизительно
предпочтительно;преимущественно
предпочтительный;преимущественный
поверье;суеверие
предрекать;предсказывать
предсказание;предвещание,предвестье,прорицание,пророчество
предсказатель;предвещатель,прорицатель,предвестник
предсказывать;предвещать,предрекать,прорицать,пророчить,пророчествовать
предумышленно;умышленно
предупреждать;предуведомлять,предостерегать
предупреждение;предостережение
предусмотрительность;осторожность
предусмотрительный;дальновидный
преемник;наместник
прежде;сперва,сначала
заранее;заблаговременно
прежний;былой
презент;подарок
презентовать;дарить
презирать;ненавидеть
презренный;ненависный
преизбыток;избыток
преимущественно;предпочтительно
преимущественный;предпочтительный
преимущество;превосходство
прекрасный;великолепный
прекращать;заканчивать
прелестный;великолепный
прельщать;привлекать
премудрость;мудрость
пренебрегать;брезгать,игнорировать
преобладание;господство,превосходство
преображать;преобразовывать
преобразование;преображение
преподаватель;учитель
препона;препятствие,преграда
загвоздка;закавыка,заковырка
преступление;правонарушение
преступник;законопреступник,злоумышленник
преступный;беззаконный,противозаконный,незаконный
претендент;кандидат
преуведомлять;предупреждать
прибавлять;добавлять
прибежище;убежище
приближаться;подступать
приблизительно;предположительно
приблизительный;примерный
прибыльный;доходный
приватный;частный
приветливый;вежливый
обворожительный;обольстительный,очаровательный
соблазнительный;искусительный
приврать;солгать
привыкать;свыкаться
привычка;повадка
привычный;обыкновенный
приглядываться;присматриваться
приглянуться;понравиться
приговор;вердикт
пригодный;подходящий
приголубить;приласкать
пригорюниваться;опечаливаться
приготовлять;подготовлять
придерживать;удерживать
придирка;прицепка
придумывать;выдумывать
приесться;надоесть
признаваться;сознаваться
признательность;благодарность
признательный;благодарный
призрак;фантом
приказ;указ
приказание;указание
приказывать;указывать,повелевать
прикасаться;дотрагиваться
прикидываться;притворяться
приключаться;случаться
прикрывать;закрывать
прилгать;приврать
приложение;прибавление
приманчивый;заманчивый
пример;образец
примечать;замечать
примешивать;подмешивать
примириться;свыкнуться
примирять;мирить
принаряжаться;наряжаться
заставлять;принуждать
приноравливаться;приспособляться
принуждать;вынуждать,понуждать,заставлять
приобщаться;присоединяться
приотворять;приоткрывать
припасать;запасать
природный;естественный
присказка;поговорка
прискорбие;печаль
прискорбный;печальный
прискучить;надоедать
прислуга;слуга
присоединяться;приобщаться
присочинить;придумать
приспособляться;приноравливаться,пристраиваться
пристойный;приличный
пристраивать;приспособлять
присутствие;пребывание
присяга;клятва
присягать;клясться
притворство;лицемерие
притворствовать;притворяться
притворяться;прикидываться
притеснитель;гонитель
притискивать;тискать
приумолкнуть;замолчать
приунылый;печальный
приутихнуть;затихнуть
приходить;прибывать
прицеливаться;целиться
прицепка;придирка
прицепляться;придираться
причастный;сопричастный
причудливый;необыкновенный
причудничать;своенравничать
приятель;друг
приятельский;дружественный
проблематичный;проблематический
проболтаться;проговориться
провидение;озорение
провидец;предсказатель
провожать;сопровождать
проворный;ловкий
проворонить;прозевать
проговориться;проболтаться,обмолвиться
прогонять;изгонять
прогуливаться;гулять
продажный;подкупной
проделка;шалость
продолжаться;длиться
проездом;мимоходом
прожора;обжора
прожорливый;обжорливый
прозорливый;дальновидный
прозывать;называть
произведение;творение
проказа;шалость
проказник;шалун
проказничать;шалить
проклинать;клясть
прокормление;пропитание
прокрадываться;пробираться
промедление;замедление
промеж;между
промежуток;интервал
променять;обменять
промерзать;замерзать
пропадать;исчезать
пропащий;безнадежный
пропойца;алкоголик
прорицать;предсказывать
пророчество;предсказание
прорываться;проталкиваться
просаживать;промотать
просвещенный;образованный
прославленный;знаменитый
простак;простачок
простец;простолюдин
простительный;извинительный
простодушный;наивный,бесхитростный
противиться;сопротивляться
противник;соперник
противный;неприятный
противоестественный;неестественный
противозаконный;преступный
проучить;наказать
профессор;ученый
прохаживаться;прогуливаться
процеживать;цедить
прощение;помилование
прыгать;скакать
прямодушный;откровенный
пугало;пугалище
пугливость;трусость
пугливый;боязливый,трусливый
пугнуть;испугать
пузо;брюхо
пустой;порожний,пустопорожний
пустомеля;болтун,пустослов
пустословить;болтать
безлюдный;необитаемый
путешественник;странник
путешествие;странствие
путешествовать;странствовать
путы;оковы
путь;маршрут
пух;пушок
пучина;бездна
пыжиться;важничать
пыл;азарт
пылать;гореть
пылинка;пыль
пылкий;горячий
пылкость;горячность
пылинка;порошинка
пышность;роскошь
пьяница;алкоголик,пьянчуга
пьянствовать;кутить
пьяный;выпивший,подвыпивший,подпивший
захмелевший;опьяневший,запьяневший
пятно;пятнышко
работать;трудиться
работник;труженик
работоспособность;трудоспособность
работоспособный;трудоспособный
работяга;трудяга
работящий;трудящий
рабский;невольнический,невольничий,подневольный
подвластность;подчиненность
рабыня;раба
равнодушие;хладнокровие
равнодушный;бесстрастный,хладнокровный
равнолетки;ровесники,однолетки
равный;одинаковый
радоваться;довольствоваться
радостный;веселый
радость;веселье
радушный;гостеприимный
однажды;единожды
разбой;грабеж
разбойник;грабитель,злодей
разбойничать;грабить
разборчивый;рассудительный
разбрасывать;раскидывать
разве;неужели
разведчик;шпион
развертываться;раскручиваться
развлекать;веселить,забавлять
развлекаться;веселиться
развлечение;веселье
развратник;распутник
развратный;безнравственный
разгар;апогей
разгильдяй;бездельник
разглагольствовать;рассуждать
разглядеть;рассмотреть
разглядывать;осматривать,рассматривать
разгневаться;рассердиться
разговаривать;беседовать,собеседовать
разговор;беседа
разговорчивый;говорливый
разгораться;разжигаться
разгорячиться;рассердиться
разграничение;разделение
разгром;погром
раздаваться;расступаться
раздел;деление
раздельно;отдельно
разделять;делить
раздосадованный;гневный,сердитый
раздражать;сердить
раздражаться;горячиться,сердиться
раздражение;сердитость
раздраженный;гневный,сердитый
раздумать;передумать
раздумье;задумие
разжалобить;умилостивить
различать;распознавать
различный;разный
размен;обмен
размешивать;перемешивать
размолвка;ссора
размышлять;раздумывать
разница;разность
разногласие;несогласие,разномыслие
разносолы;соления
разный;различный
разнообразный;разнородный
разозлить;рассердить
разозлиться;рассердиться
разориться;обанкротиться
разубеждать;отговаривать,разуверять
разубранный;разодетый
разукрашенный;прикрашеный
разум;ум
разумный;мудрый
разъединять;разделять
разъяренный;гневный
разъяснение;объяснение
разъяснять;объяснять
разыскать;отискать
раненько;ранехонько
раньше;прежде
раскаиваться;каяться
раскаяние;сожаление
раскошелиться;расщедриться
раскрасавица;красавица
раскупаться;покупаться,продаваться
распахнуть;раскрыть
расписываться;подписываться
распоряжаться;приказывать
расправа;месть
распрекрасный;прекрасный
распря;ссора
распутник;развратник
распутный;развратный
распущенность;безнравственность
рассвирепеть;рассердиться
рассердиться;разгневаться,осерчать
рассерженный;гневный
рассматривать;осматривать
рассмотреть;осмотреть
растеривать;терять
растеряться;смутиться
растолковывать;объяснять
растолстеть;потолстеть
расторопный;бойкий
растрачивать;тратить,расходовать
расхваливать;хвалить
расхвораться;заболеть
расщедриться;раскошелиться
рациональный;разумный
рвение;усердие
ребячество;безрассудство
ребячиться;забавляться
регламент;распорядок
редкостный;диковинный
редкость;диковина
резерв;запас
рекомендовать;советовать
ремесленник;мастеровой
рехнувшийся;сумасшедший
решиться;осмелиться,рискнуть
ринуться;устремиться
рискованно;опасно
рискованный;опасный
рисковать;осмелиться,отважиться
рисовать;живописать
робеть;трусить
робкий;боязливый,пугливый,трусливый
робость;нерешительность,застенчивость
ровесник;сверстник
родимый;родной,родственный
родина;отчизна
рожать;рождать
розга;лоза
розниться;различаться
роковой;фатальный
рокот;шум
роптать;жаловаться
ропщущий;недовольный
роскошный;великолепный
роскошь;великолепие
ругать;бранить
ругаться;браниться
руководить;управлять
рукоплескания;аплодисменты
рукоплескать;аплодировать
рукоятка;рукоять
ручательство;поручительство
ручаться;поручаться
рыдать;плакать
рынок;базар
рядом;около
сажаться;садиться
самовластие;самовольство,самоволие
самовольничать;самовольствовать
самовольство;самоволие
самовольствовать;самовольничать
самодельный;рукодельный
самохвал;хвастун
самохвальство;хвастовство
сатанинский;адский
сбавлять;убавлять
сбежать;убежать
сберегать;сохранять
сбрасывать;скидывать
сварливый;бранчливый
сведущий;опытный
свергать;низвергать,повергать
сверкать;блистать
сверстник;ровесник
сверять;сравнивать
светить;освещать
светлица;комната
светлый;ясный
свидетель;очевидец
свирепствовать;буйствовать
свирепый;безжалостный,жестокий
свобода;воля
свободно;вольно
свободный;вольный
свободомыслящий;вольнодумец
своевольничать;самовольствовать,своенравничать
своевольство;самовольство
своекорыстный;корыстолюбивый
своеобразный;необыкновенный
свыкаться;привыкать
связка;вязка
святитель;священник
святой;священный
святотатец;богохульник
святотатство;богохульство
пастырь;пресвитер
священнодействие;богослужение
сгинуть;погибнуть
сглаживать;выравнивать
сглупа;сдуру,необдуманно
сглупить;ошибиться
сдерживать;удерживать
сдерживаться;удерживаться
сегодня;ныне
сегодняшний;нынешний
сейчас;теперь
безотлагательно;немедленно
семя;зерно
сердитый;недовольный
сердить;гневить,озлоблять
сердиться;гневаться,злобиться
сетовать;жаловаться
сжалиться;смилостивиться,умилостивиться,умилосердиться
сила;мощь
силач;богатырь
силиться;напрягаться
симпатизировать;нравиться
симулировать;притворяться
сияние;блистание
сиять;блистать
сказка;басня
скакать;прыгать
скарб;клад
скверный;гадкий
скипетр;посох
скиталец;бродяга
скитаться;бродяжничать
скоморох;шут
скончаться;умереть
скорбеть;печалиться,тосковать
скорбный;печальный
скорбь;горе,печаль,сожаление
скоро;быстро
скорый;быстрый
скрадывать;скрывать
скрашивать;украшать
скромность;застенчивость
скромный;стыдливый,застенчивый
скрывать;укрывать
замалчивать;умалчивать,недосказывать
скрытый;тайный
скрыться;исчезнуть
скряга;скупец,скупердяй
скудость;бедность
скука;хандра
скупиться;скряжничать
скупой;жадный
скучать;тосковать
слабеть;ослабевать
слабодушный;бесхарактерный
слабосилие;бессилие
слабосильный;бессильный
слабость;бессилие,малосилие
изнеможение;изнурение
славить;восхвалять
славиться;прославиться
славный;замечательный
сладкий;сладостный
сластена;сладкоежка,сластоежка
следующий;последующий
слепой;незрячий
слишком;чересчур
словно;будто
сложный;трудный
затейливый;замысловатый
слоняться;бродить,шататься
случайно;нечаянно,ненамеренно,неумышленно,невзначай
случаться;приключаться,происходить
вслушиваться;прислушиваться
слушаться;подчиняться
смазливый;симпатичный
смак;вкус
смаковать;вкушать
сманивать;заманивать
смачный;вкусный
смекалка;догадливость
смекать;догадываться
смелость;отвага,мужество
смелый;отважный,неустрашимый
смельчак;храбрец
смердеть;вонять
кончина;гибель
смерч;ураган
сметывать;сшивать
смех;хохот
смешивать;перемешивать
смешить;веселить
смешной;забавный
смеяться;хохотать
смилостивиться;сжалиться
смирный;кроткий,спокойный
смолкать;замолкать
смолчать;промолчать
смотреть;глядеть
зреть;взирать
рассматривать;разглядывать
смотритель;сторож
смутный;неясный
смущаться;робеть
смыслить;понимать
смышленый;догадливый
снова;вновь
снотворный;усыпительный
дворняжка;шавка
собеседовать;беседовать,разговаривать
искушение;обольщение
соблазнитель;искуситель,совратитель,обольститель
соблазнительный;искусительный
соблазнять;искушать,обольщать
собор;храм
собственник;владелец
совершенный;абсолютный
советник;советчик
советовать;рекомендовать
советоваться;совещаться
советчик;советник
совещаться;советоваться
совместно;вместе
совместный;общий
совратитель;соблазнитель
совращать;соблазнять
единогласие;единомыслие
согласно;сообразно
cогрешение;пригрешение
согрешительный;пригрешительный
содействовать;помогать
суть;сущность
соединять;объединять
сожаление;раскаяние
скорбь;печаль
создавать;творить
создание;творение
создатель;творец
созерцать;рассматривать
сознавать;осознавать
сознаваться;признаваться
соизволить;изволить
сокращать;уменьшать
сокращенный;краткий
сокрушаться;жаловаться
сокрушение;сожаление
солгать;соврать
сомнение;неуверенность
сомнительный;ненадежный
соображение;суждение
сообразительность;догадливость
сообразительный;догадливый
сообразно;соответственно
сообщать;извещать
сообщение;известие,извещение
соответствующий;соответственный,подходящий
соответствовать;подходить
соперник;конкурент
соперничать;конкурировать
соперничество;конкуренция
соплеменник;единоплеменник
сопоставление;сравнение
сопоставлять;сравнивать
сопротивление;противодействие
сопротивляться;противиться
соразмерность;соответствие
соратник;товарищ
сосредоточенный;внимательный
составитель;автор
составлять;сочинять
состоятельный;зажиточный
сострадать;сочувствовать
состязание;соперничество
состязаться;соперничать
сотрудник;коллега
соучастный;причастный
сохранять;беречь,хранить
сочиненный;вымышленный
вымышлять;придумывать,выдумывать
сочувствовать;сострадать
спать;дремать,почивать
специализация;квалификация
специалист;профессионал
специально;умышленно
специальность;квалификация
специи;приправы
специя;приправа
спешить;торопиться
спешный;срочный
список;перечень
сплетник;наговорщик
сплетничать;судачить
сплетня;пересуды
сплошной;непрерывный
спокойный;безмятежный,смирный
дебатировать;диспутировать
способ;прием
справедливый;правосудный
спускаться;опускаться
сравнение;сопоставление
сравнивать;сопоставлять
сразу;враз
мгновенно;моментально
срам;стыд
срамить;бесславить,стыдить
срочно;безотлагательно
ссадина;рана
ссора;свара,размолвка,распря
ссориться;браниться
старание;усердие
старательный;усердный
стараться;усердствовать
стареть;ветшать
старец;старик
старуха;старушенция
старшинство;главенство
старый;ветхий
статный;стройный
степень;ступень
стеречь;сторожить,охранять
стесняться;стыдиться
стихать;утихать
стихотворец;поэт
стоимость;цена
сторона;грань
сторонник;любитель
страдалец;мученик
страдание;мучение
страдать;мучиться
страж;сторож,стражник
странник;путешественник
странствие;путешествие
странствовать;путешествовать
страшилище;чудовище
страшить;пугать
страшиться;бояться,пугаться
страшливый;боязливый,пугливый,трусливый
страшно;боязно
страшный;ужасный
стремиться;устремляться
строгий;взыскательный,требовательный
стрястись;случаться
студеный;холодный
студить;холодить
стыд;позор,срам
стыдить;пристыжать,срамить
стыдиться;стесняться
стыдливость;стеснительность
стыдливый;застенчивый
сударь;господин
судачить;сплетничать
судьба;доля
суеверие;предрассудок,поверие
суета;суетность
суетиться;хлопотать
суетливый;беспокойный
соображение;уразумение
сумасбродный;безрассудный
сумасбродство;безрассудство
сумасшедший;безумный,помешанный,рехнувшийся,умалишенный,душевнобольной
сумасшествие;безумие
суматоха;суета
сумма;совокупность
супротивный;противоположный
супруга;жена
супружеский;брачный
супружество;семейство
суровый;грозный
суть;сущность
существо;создание
схватить;поймать
исчислять;счислять,вычислять
сызмала;сызмальства
сыскать;найти
сыскивать;находить
табор;лагерь
таинственный;тайный
таить;скрывать
тайком;тайно
тайный;скрытый,сокровенный
таинственный;загадочный,мистический
тактичный;вежливый
талантливый;одаренный
талисман;амулет
танцмейстер;хореограф
танцовщик;танцор
тащить;волочить,тянуть
твердить;утверждать
творить;создавать
темень;темнота
темница;тюрьма
темный;мрачный
темперамент;характер
теперешний;нынешний
теперь;нынче
терзаться;мучиться
терпеливый;долготерпеливый,многотерпеливый
терять;утрачивать
теснить;притеснять,утеснять
тесный;узкий
тешить;забавлять,радовать
тиран;мучитель
тиранить;мучить
тирания;насилие
тихо;тихонько,бесшумно
тишина;тишь
тленный;тщетный
товарищ;друг
толкование;объяснение
толковать;объяснять
толкотня;давка,толчея
толстеть;жиреть,плотнеть
толстуха;толстушка
томиться;мучиться
томный;бессильный
тонуть;утопать
торгаш;торговец
торгашеский;торговый
торговец;торгаш,лавочник,купец
торговый;торгашеский
торжественный;праздничный
торжествовать;праздновать
торопить;подгонять
торопиться;спешить
тоска;печаль
тоскливый;печальный
тосковать;скучать,грустить,печалиться
тотчас;безотлагательно,немедленно
тошнить;нудить
тощий;худой
трава;травка
транжирить;тратить
трапезничать;кушать
тратить;расходовать
потреблять;употреблять
требовательный;взыскательный
тревога;беспокойство,волнение
тревожиться;волноваться,беспокоиться
тревожный;беспокойный
трепетный;робкий
трещотка;болтушка
трогать;касаться
дотрагиваться;прикасаться
тропа;стезя
тропинка;дорожка
трость;палка
трудиться;работать
труженик;работник
труп;мертвец,покойник
трус;боягуз
трусить;бояться
трусливый;боязливый,пугливый
трусость;боязливость,робость
тряпье;лохмотье
тужить;тосковать
туманный;неясный
тунеядец;бездельник
турист;путешественник
тухнуть;гаснуть
тучнеть;толстеть
тушить;гасить
тщетно;безуспешно,напрасно
тягостный;трудный
тяготеть;стремиться
тяжкий;тяжелый,тягостный
тянуть;тащить
убавлять;уменьшать
убаюкивать;присыплять
убегать;удирать
убеждать;доказывать
убеждаться;уверяться
убийца;душегуб
убогий;бедный
убыток;ущерб
убыточный;бесприбыльный
уважаемый;почитаемый
уважать;почитать
уважение;почтение
уважительно;почтительно
увертка;отговорка
увертываться;вывертываться
увеселять;веселить,забавлять
увлекательный;интересный
увлекать;привлекать
увядать;вянуть
угадывать;разгадывать
уговаривать;убеждать
угомонить;успокоить
угомониться;успокоиться
угощать;потчевать
угрожать;грозить
грозиться;пригрозить
угрюмый;насупленный
удалять;устранять
удачливый;успешный
удачный;успешный
удивительный;дивный,изумительный
удивлять;дивить
огорошить;ошарашить
ошеломить;изумить
ошеломлять;изумлять
удивляться;дивиться
изумляться;недоумевать
уютный;комфортный
удобство;комфорт
удовлетворяться;довольствоваться
удостоверение;свидетельство
ужасать;страшить
ужаснуться;испугаться
ужасный;страшный
узкий;тесный
узник;арестант
укорять;упрекать
украшать;скрашивать
укреплять;усиливать
укрощать;усмирять
укутываться;кутаться
уловка;ухватка
улыбаться;усмехаться
улыбка;усмешка
ум;разум
умаливать;вымаливать
умалишенный;безумный,сумасшедший
умалчивать;замалчивать
уменьшать;убавлять
уменьшаться;убавляться
уменьшение;убавление
умерший;мертвый
умерщвлять;убивать
умилосердить;умилостивить
умирать;помирать
умный;разумный
умолить;умилостивлять
умолкнуть;замолчать
умолять;упрашивать
умысел;замысел
умышленно;намеренно
умышлять;замышлять
уничтожать;истреблять
унылый;печальный
упадок;вырождение
упиваться;напиваться
упитанный;откормленный
уплатить;оплатить
уповать;надеяться
упомнить;вспомнить
управлять;править
упрашивать;уговаривать
упрекать;попрекать,корить,укорять
упрямиться;упрямствовать
уродовать;изувечивать
усаживаться;присаживаться
усердие;старание
усердный;старательный
услужливый;угодливый
мнение;суждение
уснуть;заснуть
успех;удача
успешный;удачный
успокоиться;угомониться
уста;губы
устареть;обветшать
постареть;состариться
устрашить;напугать
усыпительный;снотворный
утеснять;притеснять
утеха;потеха
утешать;успокаивать
утешение;успокоение
утешительный;успокоительный
утихнуть;притихнуть
утрата;потеря
утрачивать;лишаться
ухитряться;умудряться
участник;соучастник
ученица;воспитанница
ученик;воспитанник
ущерб;убыток
фаворит;любимец
фальшь;ложь
фантазировать;выдумывать
фантазия;воображение
фантастический;вымышленный
фантом;призрак
финал;конец
фокус;трюк
фрукт;плод
фундаментальный;основательный
халатно;небрежно
хандра;мелланхолия
хаос;беспорядок
нрав;норов
характеризовать;описывать
характерный;отличительный
хвала;похвала
хвалить;восхвалять,выхвалять,расхваливать
хвалиться;хвастать
хвастать;хвалиться,похваляться,выхваляться
хвастовство;самохвальство
хвастун;самохвал
хвататься;ухватывать
хворать;болеть
хворый;больной
хворь;болезнь
хитрец;лукавец
хитроумный;хитрый
хитрый;хитроумный,коварный,лукавый
хихикать;посмеиваться
хладнокровие;равнодушие
хладнокровный;равнодушный
хлопотать;заботиться
хлопотливый;заботливый
хлопоты;заботы
хмурно;пасмурно
хмурный;пасмурный
хныканье;плач
хныкать;плакать
хозяин;владелец,обладатель
холеный;ухоженый
холить;нежить
холод;мороз
холодеть;мерзнуть
холодить;студить
охлаждать;остужать
хотеть;желать
хохот;смех
храбрец;смельчак
храбрость;отвага
храбрый;отважный,мужественный
хранить;беречь
художник;живописец
худощавый;тощий
хулить;бранить,порицать
царь;король
целебный;лечебный,целительный,врачебный,лекарственный
целиться;метить
целомудренный;непорочный
цельный;целостный
цена;стоимость
ценить;оценивать
ценный;дорогой
церемониальный;обрядный
церемония;обряд
цинический;циничный
чародей;волшебник
частный;приватный
часто;нередко
часть;доля
чахлый;хилый
чваниться;важничать
человеколюбивый;человечный
чепуха;нелепость
сменяться;заменяться
чересчур;слишком
чернец;монах
чернокнижник;колдун
честность;правдивость
честный;правдивый
чистить;вычищать
читатель;чтец
чрево;брюхо
чтить;почитать
чувство;ощущение
чувствовать;ощущать
чувствоваться;ощущаться
чудесный;удивительный
чудиться;казаться
чудище;чудовище
чудный;дивный
чужестранец;иностранец
чужестранный;иностранный
чуточка;малость
чучело;пугало
чушь;вздор
шайка;стая
шалить;баловаться
шалун;баловник,проказник
шарлатан;плут
шелохнуться;шевельнуться
шеф;бос
шикарный;роскошный
шкура;кожа
шпион;разведчик
штудировать;зазубривать
шум;гул
шустрый;бойкий
шут;клоун
шутливый;юморной
шутник;юморист
шушукаться;шептаться
щадить;миловать
щепетильный;аккуратный
самолюбие;себялюбие
эксперт;знаток
элегантный;роскошный
эскиз;набросок
юмористический;шутливый
юнец;юноша,отрок
ютиться;поселяться
ябедник;доносчик
явиться;появиться
якобы;будто
яркий;ясный
ярый;бешеный
ясность;четкость
ясный;светлый
ларец;ларь